time;ax;ay;az;aT
0,766000;1,6040;-0,7048;-0,7053;1,889
0,770000;-2,0084;0,5394;0,9179;2,273
0,775000;0,3921;0,8648;2,1084;2,312
0,778000;2,8126;-0,8676;5,7937;6,498
0,782000;-1,5093;-0,5746;-1,6581;2,315
0,786000;-0,0960;1,2041;-4,5403;4,698
0,790000;0,4988;0,3190;-4,0700;4,113
0,794000;0,4479;-1,5041;-2,3446;2,821
0,798000;1,1840;-0,0309;2,0027;2,327
0,802000;1,8122;-0,2925;6,1866;6,453
0,815000;-1,0622;-1,2424;1,7645;2,405
0,815000;1,4483;1,3886;-2,3151;3,064
0,816000;0,5646;1,8515;-0,5425;2,010
0,818000;-0,2813;-4,4523;-2,9624;5,355
0,822000;-0,2939;3,6389;0,2724;3,661
0,826000;0,6778;-0,9111;-0,3304;1,183
0,830000;-0,4528;-2,0216;1,8490;2,777
0,834000;1,6106;1,9696;1,5298;2,969
0,838000;-0,2478;-0,7528;-1,4227;1,629
0,843000;-0,2209;0,5729;-0,9960;1,170
0,845000;-1,5927;1,1625;0,8452;2,145
0,850000;1,5325;-0,2454;-0,5814;1,657
0,854000;0,3079;1,9283;-0,0967;1,955
0,858000;1,3924;-0,0030;0,1554;1,401
0,862000;0,0247;1,3338;1,8961;2,318
0,865000;-0,9223;1,1240;2,6920;3,060
0,869000;2,9218;0,0004;-0,3820;2,947
0,874000;-0,6580;0,8867;-2,6033;2,828
0,878000;-0,1007;-0,9365;-4,3512;4,452
0,881000;-0,2483;2,5880;1,2329;2,877
0,887000;2,6705;1,0646;3,8099;4,773
0,889000;1,7116;-0,1229;1,7088;2,422
0,893000;-2,6725;1,5283;-1,4400;3,399
0,897000;-1,1555;0,6904;-3,4235;3,679
0,901000;0,4240;1,9020;1,1353;2,255
0,905000;1,3373;0,6434;1,9724;2,468
0,910000;0,1532;1,7810;2,6592;3,204
0,915000;0,9928;0,6429;-1,2770;1,741
0,917000;0,0541;1,0262;-2,0026;2,251
0,921000;0,5170;1,4939;-0,7887;1,767
0,926000;-1,2112;0,4947;0,7326;1,499
0,929000;1,0743;1,4422;1,2490;2,190
0,933000;-0,8874;1,2077;-0,7747;1,687
0,937000;0,4491;1,2848;-0,1855;1,374
0,943000;-0,6476;1,3579;2,0713;2,560
