time;gFx;gFy;gFz;TgF
0,890000;0,2868;0,9572;-0,0396;1,000
0,893000;0,2927;0,9567;-0,0364;1,001
0,898000;0,2856;0,9574;-0,0288;1,000
0,901000;0,2907;0,9569;-0,0232;1,000
0,905000;0,2846;0,9613;-0,0276;1,003
0,909000;0,2829;0,9569;-0,0254;0,998
0,912000;0,2834;0,9535;-0,0235;0,995
0,916000;0,2849;0,9557;-0,0213;0,998
0,921000;0,2868;0,9589;-0,0320;1,001
0,926000;0,2856;0,9582;-0,0298;1,000
0,928000;0,2878;0,9601;-0,0369;1,003
0,932000;0,2866;0,9589;-0,0410;1,002
0,936000;0,2880;0,9569;-0,0437;1,000
0,940000;0,2839;0,9574;-0,0518;1,000
0,944000;0,2841;0,9599;-0,0513;1,002
0,948000;0,2866;0,9601;-0,0530;1,003
0,952000;0,2858;0,9577;-0,0535;1,001
0,956000;0,2858;0,9611;-0,0545;1,004
0,960000;0,2875;0,9569;-0,0540;1,001
0,964000;0,2836;0,9569;-0,0498;0,999
0,968000;0,2851;0,9572;-0,0503;1,000
0,973000;0,2856;0,9631;-0,0442;1,005
0,976000;0,2866;0,9567;-0,0447;1,000
0,980000;0,2849;0,9562;-0,0415;0,999
0,984000;0,2878;0,9628;-0,0364;1,006
0,989000;0,2858;0,9584;-0,0374;1,001
0,993000;0,2885;0,9589;-0,0327;1,002
0,996000;0,2878;0,9565;-0,0303;0,999
1,000000;0,2863;0,9599;-0,0315;1,002
1,012000;0,2861;0,9555;-0,0337;0,998
1,014000;0,2834;0,9618;-0,0342;1,003
1,014000;0,2839;0,9560;-0,0381;0,998
1,018000;0,2878;0,9606;-0,0398;1,004
1,020000;0,2900;0,9584;-0,0432;1,002
1,028000;0,2853;0,9567;-0,0386;0,999
1,030000;0,2917;0,9604;-0,0442;1,005
1,032000;0,2871;0,9596;-0,0401;1,002
1,036000;0,2900;0,9587;-0,0430;1,002
1,041000;0,2871;0,9599;-0,0415;1,003
1,043000;0,2885;0,9591;-0,0452;1,003
1,047000;0,2844;0,9606;-0,0496;1,003
1,051000;0,2875;0,9582;-0,0462;1,001
1,056000;0,2856;0,9587;-0,0452;1,001
1,059000;0,2866;0,9560;-0,0432;0,999
1,063000;0,2897;0,9601;-0,0457;1,004
1,067000;0,2844;0,9565;-0,0430;0,999
1,072000;0,2866;0,9557;-0,0442;0,999
1,076000;0,2849;0,9613;-0,0452;1,004
1,079000;0,2863;0,9591;-0,0408;1,002
1,083000;0,2863;0,9638;-0,0408;1,006
1,089000;0,2832;0,9601;-0,0430;1,002
1,091000;0,2897;0,9609;-0,0403;1,004
1,095000;0,2873;0,9621;-0,0418;1,005
1,099000;0,2849;0,9579;-0,0437;1,000
1,103000;0,2871;0,9560;-0,0398;0,999
1,108000;0,2871;0,9606;-0,0425;1,003
1,111000;0,2900;0,9555;-0,0386;0,999
1,115000;0,2915;0,9609;-0,0403;1,005
1,119000;0,2893;0,9577;-0,0406;1,001
1,134000;0,2875;0,9596;-0,0420;1,003
1,142000;0,2895;0,9589;-0,0432;1,003
1,142000;0,2832;0,9584;-0,0447;1,000
1,143000;0,2875;0,9584;-0,0423;1,002
1,143000;0,2856;0,9626;-0,0425;1,005
1,146000;0,2883;0,9555;-0,0437;0,999
1,148000;0,2834;0,9591;-0,0469;1,001
1,151000;0,2871;0,9569;-0,0450;1,000
1,158000;0,2873;0,9594;-0,0452;1,003
1,165000;0,2880;0,9599;-0,0474;1,003
1,166000;0,2839;0,9601;-0,0459;1,002
1,167000;0,2902;0,9601;-0,0484;1,004
1,173000;0,2868;0,9604;-0,0506;1,004
1,181000;0,2878;0,9594;-0,0452;1,003
1,182000;0,2910;0,9562;-0,0440;1,000
1,182000;0,2885;0,9582;-0,0447;1,002
1,186000;0,2893;0,9567;-0,0376;1,000
1,190000;0,2856;0,9555;-0,0369;0,998
1,194000;0,2871;0,9574;-0,0386;1,000
1,198000;0,2880;0,9591;-0,0396;1,002
1,202000;0,2880;0,9579;-0,0364;1,001
1,206000;0,2858;0,9589;-0,0396;1,001
1,210000;0,2863;0,9565;-0,0425;0,999
1,214000;0,2863;0,9582;-0,0447;1,001
1,218000;0,2873;0,9577;-0,0454;1,001
1,223000;0,2907;0,9599;-0,0442;1,004
1,226000;0,2875;0,9565;-0,0418;1,000
1,230000;0,2885;0,9562;-0,0418;1,000
1,234000;0,2863;0,9572;-0,0423;1,000
1,241000;0,2844;0,9569;-0,0408;0,999
1,243000;0,2885;0,9562;-0,0423;1,000
1,247000;0,2822;0,9577;-0,0371;0,999
1,250000;0,2863;0,9601;-0,0406;1,003
1,255000;0,2873;0,9572;-0,0413;1,000
1,259000;0,2866;0,9567;-0,0349;0,999
1,263000;0,2861;0,9565;-0,0362;0,999
1,266000;0,2873;0,9577;-0,0369;1,001
1,270000;0,2868;0,9555;-0,0403;0,998
1,279000;0,2880;0,9587;-0,0374;1,002
1,280000;0,2871;0,9545;-0,0410;0,998
1,286000;0,2885;0,9604;-0,0437;1,004
1,287000;0,2863;0,9560;-0,0418;0,999
1,298000;0,2868;0,9611;-0,0457;1,004
1,299000;0,2890;0,9584;-0,0410;1,002
1,299000;0,2890;0,9599;-0,0445;1,003
1,302000;0,2910;0,9574;-0,0447;1,002
1,308000;0,2883;0,9579;-0,0464;1,001
1,310000;0,2824;0,9591;-0,0501;1,001
1,314000;0,2853;0,9584;-0,0513;1,001
1,318000;0,2871;0,9567;-0,0513;1,000
1,324000;0,2895;0,9567;-0,0542;1,001
1,325000;0,2922;0,9572;-0,0520;1,002
1,330000;0,2875;0,9572;-0,0454;1,000
1,333000;0,2871;0,9604;-0,0467;1,003
