time;gFx;gFy;gFz;TgF
1,763000;-0,1178;0,5013;0,8512;0,995
1,772000;-0,1500;0,4837;0,8443;0,985
1,782000;-0,1769;0,4686;0,8355;0,974
1,835000;-0,1739;0,4578;0,8199;0,955
1,836000;-0,1500;0,4637;0,8209;0,955
1,836000;-0,1349;0,4725;0,8321;0,966
1,837000;-0,1241;0,4784;0,8233;0,960
1,838000;-0,1222;0,4867;0,7989;0,943
1,847000;-0,1143;0,4852;0,7906;0,935
1,858000;-0,1187;0,4940;0,7867;0,936
1,871000;-0,1173;0,5135;0,7813;0,942
1,872000;-0,0972;0,5350;0,7920;0,961
1,928000;-0,0826;0,5512;0,8189;0,991
1,929000;-0,0635;0,5443;0,8438;1,006
1,929000;-0,0537;0,5277;0,8560;1,007
1,930000;-0,0640;0,4999;0,8590;0,996
1,930000;-0,0884;0,4862;0,8546;0,987
1,940000;-0,1168;0,4862;0,8302;0,969
1,951000;-0,1314;0,4915;0,8355;0,978
1,953000;-0,1422;0,5023;0,8492;0,997
1,970000;-0,1471;0,5096;0,8502;1,002
1,972000;-0,1422;0,5116;0,8502;1,002
2,037000;-0,1353;0,5155;0,8531;1,006
2,038000;-0,1319;0,5106;0,8438;0,995
2,038000;-0,1275;0,4989;0,8272;0,974
2,039000;-0,1187;0,5008;0,8184;0,967
2,039000;-0,1070;0,5160;0,8248;0,979
2,040000;-0,0870;0,5311;0,8365;0,995
2,049000;-0,0767;0,5365;0,8429;1,002
2,052000;-0,0743;0,5380;0,8448;1,004
2,067000;-0,0792;0,5336;0,8526;1,009
2,073000;-0,0919;0,5209;0,8565;1,007
2,089000;-0,0972;0,5189;0,8517;1,002
2,149000;-0,1031;0,5253;0,8326;0,990
2,150000;-0,1109;0,5301;0,8179;0,981
2,151000;-0,1158;0,5360;0,8038;0,973
2,152000;-0,1192;0,5287;0,7969;0,964
2,152000;-0,1158;0,5292;0,7994;0,966
2,153000;-0,0928;0,5385;0,8204;0,986
2,154000;-0,0718;0,5463;0,8438;1,008
2,162000;-0,0660;0,5375;0,8707;1,025
2,172000;-0,0816;0,5038;0,8849;1,021
2,187000;-0,1241;0,4749;0,8756;1,004
2,230000;-0,1691;0,4632;0,8668;0,997
2,231000;-0,2042;0,4627;0,8438;0,984
2,232000;-0,2125;0,4661;0,8189;0,966
2,233000;-0,1886;0,4725;0,8101;0,957
2,233000;-0,1397;0,4886;0,8302;0,973
2,244000;-0,0914;0,5047;0,8644;1,005
2,252000;-0,0616;0,5111;0,9127;1,048
2,262000;-0,0586;0,5135;0,9552;1,086
