time;ax;ay;az;aT
1,348000;-0,0254;-0,0065;-0,0020;0,026
1,353000;0,0223;-0,0040;-0,0139;0,027
1,354000;0,0174;0,0104;-0,0114;0,023
1,359000;0,0172;0,0174;-0,0398;0,047
1,362000;-0,0114;0,0196;0,0128;0,026
1,365000;0,0385;0,0051;-0,0040;0,039
1,369000;0,0240;-0,0234;0,0127;0,036
1,373000;0,0048;0,0053;0,0126;0,014
1,378000;-0,0118;-0,0090;-0,0279;0,032
1,381000;-0,0165;-0,0303;0,0341;0,048
1,386000;-0,0140;-0,0229;0,0006;0,027
1,388000;0,0241;0,0366;-0,0232;0,050
1,395000;-0,0070;-0,0230;0,0245;0,034
1,397000;0,0334;0,0271;-0,0089;0,044
1,400000;-0,0025;0,0269;-0,0017;0,027
1,404000;-0,0214;-0,0041;-0,0064;0,023
1,408000;-0,0046;0,0102;0,0150;0,019
1,413000;0,0406;0,0148;-0,0564;0,071
1,416000;0,0236;-0,0019;-0,0084;0,025
1,420000;0,0162;0,0170;-0,0440;0,050
1,424000;-0,0029;-0,0069;-0,0341;0,035
1,429000;0,0114;0,0144;-0,0149;0,024
1,432000;-0,0291;0,0095;-0,0053;0,031
1,436000;-0,0193;-0,0167;-0,0147;0,029
1,439000;0,0094;0,0167;-0,0193;0,027
1,448000;-0,0240;-0,0334;0,0140;0,043
1,449000;0,0451;-0,0046;-0,0146;0,048
1,452000;-0,0170;-0,0070;-0,0097;0,021
1,456000;-0,0121;-0,0259;-0,0215;0,036
1,461000;0,0047;0,0219;-0,0118;0,025
1,464000;0,0094;0,0241;-0,0022;0,026
1,468000;-0,0358;-0,0022;0,0287;0,046
1,472000;0,0096;-0,0068;0,0237;0,026
1,477000;0,0308;0,0146;0,0235;0,041
1,480000;0,0020;-0,0283;0,0115;0,031
1,484000;-0,0241;0,0194;0,0090;0,032
1,487000;-0,0191;-0,0092;-0,0006;0,021
1,491000;0,0405;0,0147;-0,0053;0,043
1,496000;0,0117;-0,0044;-0,0290;0,032
1,499000;0,0044;-0,0044;-0,0003;0,006
1,503000;-0,0146;0,0028;-0,0383;0,041
1,507000;-0,0074;-0,0138;0,0190;0,025
1,513000;-0,0073;-0,0018;0,0046;0,009
1,516000;-0,0238;-0,0183;-0,0049;0,030
1,520000;-0,0046;0,0174;0,0118;0,022
1,523000;-0,0070;0,0102;0,0188;0,023
